generation,best_fitness,best_distance,best_time,avg_fitness,diversity,Variant
0,0.0012929603153504531,352.80960275545647,525.7616748809814,0.0011375955890018,1.0,GAAM-TS
1,0.0016114487733244285,263.3359278666361,446.5295853614807,0.001201997854089,1.0,GAAM-TS
2,0.0016941839862882624,242.5258407763896,434.6610293388367,0.0012693806571824,1.0,GAAM-TS
3,0.0017681930811920023,227.38188600990424,422.70901346206665,0.0013398333841686,1.0,GAAM-TS
4,0.0018044581811122932,224.0558866582013,412.65885829925537,0.001396401632634,1.0,GAAM-TS
5,0.001832310450582761,221.39460470546084,405.4555492401123,0.00145181620636,1.0,GAAM-TS
6,0.0018742307327261482,213.3664573750126,400.2322244644165,0.0015028462792321,1.0,GAAM-TS
7,0.001906228417067866,207.98175643681668,395.76793384552,0.001536551563108,0.97,GAAM-TS
8,0.0019278747697754142,204.6430018008848,392.57861137390137,0.001575466921233,0.96,GAAM-TS
9,0.0019394073546951482,203.88876729444303,389.6658325195313,0.0015826695896133,0.98,GAAM-TS
10,0.001957044008958219,201.78507559485072,386.48704624176025,0.0016212065075208,0.99,GAAM-TS
11,0.0019643529931692542,200.1810457177957,386.11553382873535,0.0016422038609987,0.98,GAAM-TS
12,0.001970685236059808,199.4727730140956,384.956169128418,0.0016728544585143,0.96,GAAM-TS
13,0.0019734707033319384,198.9296068077877,384.7398443222046,0.0016887529324867,0.95,GAAM-TS
14,0.0019762618744846466,199.33622706375,383.3369846343994,0.0017221799525457,0.95,GAAM-TS
15,0.0019762618744846466,199.33622706375,383.3369846343994,0.0017681102952279,0.96,GAAM-TS
16,0.0019762618744846466,199.33622706375,383.3369846343994,0.0017649930632437,0.97,GAAM-TS
17,0.0019762618744846466,199.33622706375,383.3369846343994,0.0017775085439417,0.97,GAAM-TS
18,0.0019762618744846466,199.33622706375,383.3369846343994,0.0017812804006844,0.95,GAAM-TS
19,0.00200509063077068,193.7052842443368,381.2816114425659,0.0017826586706149,0.97,GAAM-TS
20,0.002020340216386976,190.8186729920365,380.1843347549439,0.0018045337485987,0.92,GAAM-TS
21,0.002053375857064578,186.77198554061684,375.2886447906494,0.0018114081783268,0.95,GAAM-TS
